event_id,y,m,d,h,discharge
2,1970,4,13,14,32.615808
2,1970,4,13,15,37.596993
2,1970,4,13,16,42.919573
2,1970,4,13,17,47.582490
2,1970,4,13,18,50.894837
2,1970,4,13,19,52.900444
2,1970,4,13,20,53.768867
2,1970,4,13,21,53.647368
2,1970,4,13,22,52.726783
2,1970,4,13,23,51.432543
2,1970,4,14,0,50.408002
2,1970,4,14,1,50.076035
2,1970,4,14,2,50.410960
2,1970,4,14,3,52.065392
2,1970,4,14,4,54.476248
2,1970,4,14,5,58.549958
2,1970,4,14,6,64.422047
2,1970,4,14,7,71.704163
2,1970,4,14,8,80.206595
2,1970,4,14,9,89.686204
2,1970,4,14,10,99.253721
2,1970,4,14,11,108.313649
2,1970,4,14,12,117.401929
2,1970,4,14,13,126.550392
2,1970,4,14,14,135.822326
2,1970,4,14,15,145.868906
2,1970,4,14,16,156.231411
2,1970,4,14,17,165.452749
2,1970,4,14,18,172.894318
2,1970,4,14,19,178.094284
2,1970,4,14,20,181.300588
2,1970,4,14,21,182.867939
2,1970,4,14,22,183.279659
2,1970,4,14,23,182.070709
2,1970,4,15,0,179.480788
2,1970,4,15,1,175.474233
2,1970,4,15,2,170.403343
2,1970,4,15,3,164.654501
2,1970,4,15,4,158.502970
2,1970,4,15,5,152.116294
2,1970,4,15,6,145.595821
2,1970,4,15,7,139.037945
2,1970,4,15,8,132.551820
2,1970,4,15,9,126.244158
2,1970,4,15,10,120.231849
2,1970,4,15,11,114.666207
2,1970,4,15,12,109.584545
2,1970,4,15,13,104.953592
2,1970,4,15,14,100.797739
2,1970,4,15,15,97.126177
2,1970,4,15,16,94.779498
2,1970,4,15,17,92.939038
2,1970,4,15,18,92.016395
2,1970,4,15,19,91.506499
2,1970,4,15,20,90.977157
2,1970,4,15,21,90.294899
2,1970,4,15,22,89.514004
2,1970,4,15,23,89.001068
2,1970,4,16,0,88.723964
2,1970,4,16,1,88.800221
2,1970,4,16,2,88.924130
2,1970,4,16,3,89.085342
2,1970,4,16,4,89.287093
2,1970,4,16,5,89.764068
2,1970,4,16,6,90.681059
2,1970,4,16,7,92.241090
2,1970,4,16,8,94.724767
2,1970,4,16,9,99.933068
2,1970,4,16,10,106.223978
2,1970,4,16,11,113.047675
2,1970,4,16,12,119.292135
2,1970,4,16,13,124.689367
2,1970,4,16,14,129.050496
2,1970,4,16,15,133.202864
2,1970,4,16,16,136.666710
2,1970,4,16,17,139.780655
2,1970,4,16,18,142.359125
2,1970,4,16,19,144.329796
2,1970,4,16,20,145.676592
2,1970,4,16,21,146.421926
2,1970,4,16,22,146.559292
2,1970,4,16,23,146.310308
2,1970,4,17,0,145.801873
2,1970,4,17,1,145.228351
2,1970,4,17,2,144.581775
2,1970,4,17,3,143.768436
